in s,C1 in V,C2 in V
-4.37358E-02,2.107E-01,6.090E-03
-4.37338E-02,1.912E-01,6.090E-03
-4.37317E-02,2.107E-01,6.090E-03
-4.37297E-02,1.716E-01,6.338E-03
-4.37277E-02,1.521E-01,6.090E-03
-4.37257E-02,1.521E-01,6.090E-03
-4.37237E-02,1.912E-01,6.586E-03
-4.37217E-02,1.716E-01,5.842E-03
-4.37196E-02,1.326E-01,5.842E-03
-4.37176E-02,1.912E-01,5.842E-03
-4.37156E-02,1.521E-01,6.090E-03
-4.37136E-02,1.716E-01,5.346E-03
-4.37116E-02,1.326E-01,6.834E-03
-4.37096E-02,1.716E-01,6.586E-03
-4.37076E-02,1.912E-01,6.090E-03
-4.37055E-02,2.107E-01,6.090E-03
-4.37035E-02,1.912E-01,5.594E-03
-4.37015E-02,1.716E-01,5.842E-03
-4.36995E-02,2.498E-01,6.090E-03
-4.36975E-02,1.521E-01,7.082E-03
-4.36955E-02,2.107E-01,6.090E-03
-4.36934E-02,1.521E-01,6.586E-03
-4.36914E-02,1.716E-01,6.090E-03
-4.36894E-02,1.716E-01,5.842E-03
-4.36874E-02,1.130E-01,5.842E-03
-4.36854E-02,1.521E-01,6.586E-03
-4.36834E-02,1.912E-01,5.842E-03
-4.36813E-02,1.130E-01,6.090E-03
-4.36793E-02,1.521E-01,6.090E-03
-4.36773E-02,1.912E-01,6.090E-03
-4.36753E-02,2.107E-01,6.090E-03
-4.36733E-02,2.498E-01,6.090E-03
-4.36713E-02,1.326E-01,6.338E-03
-4.36692E-02,1.716E-01,5.842E-03
-4.36672E-02,1.716E-01,5.594E-03
-4.36652E-02,2.302E-01,6.090E-03
-4.36632E-02,2.302E-01,6.090E-03
-4.36612E-02,2.107E-01,6.586E-03
-4.36592E-02,1.521E-01,6.090E-03
-4.36572E-02,1.912E-01,6.090E-03
-4.36551E-02,1.912E-01,6.090E-03
-4.36531E-02,1.326E-01,5.098E-03
-4.36511E-02,2.107E-01,6.586E-03
-4.36491E-02,1.326E-01,5.842E-03
-4.36471E-02,1.716E-01,6.090E-03
-4.36451E-02,1.521E-01,6.586E-03
-4.36430E-02,1.716E-01,6.090E-03
-4.36410E-02,1.716E-01,6.090E-03
-4.36390E-02,1.912E-01,6.090E-03
-4.36370E-02,2.107E-01,6.090E-03
-4.36350E-02,1.716E-01,5.594E-03
-4.36330E-02,1.326E-01,5.842E-03
-4.36309E-02,1.326E-01,5.346E-03
-4.36289E-02,1.521E-01,6.090E-03
-4.36269E-02,1.521E-01,5.594E-03
-4.36249E-02,1.716E-01,5.346E-03
-4.36229E-02,1.326E-01,5.842E-03
-4.36209E-02,1.521E-01,5.842E-03
-4.36188E-02,1.326E-01,6.338E-03
-4.36168E-02,9.352E-02,5.594E-03
-4.36148E-02,2.107E-01,5.842E-03
-4.36128E-02,2.107E-01,6.586E-03
-4.36108E-02,1.326E-01,6.338E-03
-4.36088E-02,1.912E-01,6.338E-03
-4.36068E-02,1.716E-01,6.586E-03
-4.36047E-02,1.716E-01,6.338E-03
-4.36027E-02,1.912E-01,6.586E-03
-4.36007E-02,1.326E-01,5.594E-03
-4.35987E-02,1.326E-01,6.586E-03
-4.35967E-02,1.716E-01,5.594E-03
-4.35947E-02,2.107E-01,5.594E-03
-4.35926E-02,1.716E-01,5.842E-03
-4.35906E-02,1.326E-01,6.090E-03
-4.35886E-02,1.326E-01,5.346E-03
-4.35866E-02,2.302E-01,6.090E-03
